# Приветствия и вежливые слова
привет|здраво
доброе утро|добро јутро
добрый вечер|добро вече
доброй ночи|лаку ноћ
до свидания|довиђења
пока|ћао
пожалуйста|молим
спасибо|хвала
не за что|нема на чему
извините|извините
да|да
нет|не

# Местоимения
я|ја
ты|ти
он|он
она|она
вы|Ви
мы|ми

# Глаголы
иметь|имати
делать|радити
говорить|говорити
есть|јести
пить|пити
жить|живети
работать|радити
учиться|учити
читать|читати
писать|писати
идти|ићи
приходить|доћи
хотеть|желети
мочь|моћи
знать|знати
нравиться|свиђати се

# Семья
мама|мајка
папа|отац
сын|син
дочь|ћерка
брат|брат
сестра|сестра
муж|муж
жена|жена
друг|пријатељ
подруга|пријатељица

# Дом
дом|кућа
квартира|стан
комната|соба
кухня|кухиња
ванная|купатило
стол|сто
стул|столица
кровать|кревет
дверь|врата
окно|прозор

# Еда и напитки
вода|вода
хлеб|хлеб
молоко|млеко
кофе|кафа
чай|чај
вино|вино
пиво|пиво
мясо|месо
рыба|риба
фрукты|воће
рис|пиринач
сахар|шећер
соль|со

# Город и транспорт
улица|улица
площадь|трг
магазин|продавница
ресторан|ресторан
больница|болница
аэропорт|аеродром
машина|ауто
автобус|аутобус
поезд|воз
такси|такси

# Цвета
красный|црвена
синий|плава
зелёный|зелена
жёлтый|жута
чёрный|црна
белый|бела

# Числа
один|један
два|два
три|три
четыре|четири
пять|пет
шесть|шест
семь|седам
восемь|осам
девять|девет
десять|десет

# Время
сегодня|данас
завтра|сутра
вчера|јуче
сейчас|сада
всегда|увек
никогда|никада
день|дан
ночь|ноћ
неделя|седмица
месяц|месец
год|година

# Прилагательные
большой|велики
маленький|мали
хороший|добар
плохой|лош
красивый|леп
новый|нов
старый|стар
дорогой|скуп
дешёвый|јефтин
холодный|хладан
горячий|врућ

# Вопросы
что?|шта?
кто?|ко?
где?|где?
когда?|када?
почему?|зашто?
как?|како?
сколько?|колико?

