# Приветствия и вежливые слова
привет|hola
доброе утро|buenos días
добрый вечер|buenas tardes
доброй ночи|buenas noches
до свидания|adiós
пока|hasta luego
пожалуйста|por favor
спасибо|gracias
не за что|de nada
извините|perdón
да|sí
нет|no

# Местоимения
я|yo
ты|tú
он|él
она|ella
вы|usted
мы|nosotros

# Глаголы
иметь|tener
делать|hacer
говорить|hablar
есть|comer
пить|beber
жить|vivir
работать|trabajar
учиться|estudiar
читать|leer
писать|escribir
идти|ir
приходить|venir
хотеть|querer
мочь|poder
знать|saber
нравиться|gustar

# Семья
мама|madre
папа|padre
сын|hijo
дочь|hija
брат|hermano
сестра|hermana
муж|esposo
жена|esposa
друг|amigo
подруга|amiga

# Дом
дом|casa
квартира|piso
комната|habitación
кухня|cocina
ванная|baño
стол|mesa
стул|silla
кровать|cama
дверь|puerta
окно|ventana

# Еда и напитки
вода|agua
хлеб|pan
молоко|leche
кофе|café
чай|té
вино|vino
пиво|cerveza
мясо|carne
рыба|pescado
фрукты|fruta
рис|arroz
сахар|azúcar
соль|sal

# Город и транспорт
улица|calle
площадь|plaza
магазин|tienda
ресторан|restaurante
больница|hospital
аэропорт|aeropuerto
машина|coche
автобус|autobús
поезд|tren
такси|taxi

# Цвета
красный|rojo
синий|azul
зелёный|verde
жёлтый|amarillo
чёрный|negro
белый|blanco

# Числа
один|uno
два|dos
три|tres
четыре|cuatro
пять|cinco
шесть|seis
семь|siete
восемь|ocho
девять|nueve
десять|diez

# Время
сегодня|hoy
завтра|mañana
вчера|ayer
сейчас|ahora
всегда|siempre
никогда|nunca
день|día
ночь|noche
неделя|semana
месяц|mes
год|año

# Прилагательные
большой|grande
маленький|pequeño
хороший|bueno
плохой|malo
красивый|bonito
новый|nuevo
старый|viejo
дорогой|caro
дешёвый|barato
холодный|frío
горячий|caliente

# Вопросы
что?|¿qué?
кто?|¿quién?
где?|¿dónde?
когда?|¿cuándo?
почему?|¿por qué?
как?|¿cómo?
сколько?|¿cuánto?

