# Приветствия и вежливые слова
привет|hallo
доброе утро|guten Morgen
добрый вечер|guten Abend
доброй ночи|gute Nacht
до свидания|auf Wiedersehen
пока|tschüss
пожалуйста|bitte
спасибо|danke
не за что|bitte
извините|Entschuldigung
да|ja
нет|nein

# Местоимения
я|ich
ты|du
он|er
она|sie
вы|Sie
мы|wir

# Глаголы
иметь|haben
делать|machen
говорить|sprechen
есть|essen
пить|trinken
жить|leben
работать|arbeiten
учиться|lernen
читать|lesen
писать|schreiben
идти|gehen
приходить|kommen
хотеть|wollen
мочь|können
знать|wissen
нравиться|gefallen

# Семья
мама|Mutter
папа|Vater
сын|Sohn
дочь|Tochter
брат|Bruder
сестра|Schwester
муж|Mann
жена|Frau
друг|Freund
подруга|Freundin

# Дом
дом|Haus
квартира|Wohnung
комната|Zimmer
кухня|Küche
ванная|Badezimmer
стол|Tisch
стул|Stuhl
кровать|Bett
дверь|Tür
окно|Fenster

# Еда и напитки
вода|Wasser
хлеб|Brot
молоко|Milch
кофе|Kaffee
чай|Tee
вино|Wein
пиво|Bier
мясо|Fleisch
рыба|Fisch
фрукты|Obst
рис|Reis
сахар|Zucker
соль|Salz

# Город и транспорт
улица|Straße
площадь|Platz
магазин|Laden
ресторан|Restaurant
больница|Krankenhaus
аэропорт|Flughafen
машина|Auto
автобус|Bus
поезд|Zug
такси|Taxi

# Цвета
красный|rot
синий|blau
зелёный|grün
жёлтый|gelb
чёрный|schwarz
белый|weiß

# Числа
один|eins
два|zwei
три|drei
четыре|vier
пять|fünf
шесть|sechs
семь|sieben
восемь|acht
девять|neun
десять|zehn

# Время
сегодня|heute
завтра|morgen
вчера|gestern
сейчас|jetzt
всегда|immer
никогда|nie
день|Tag
ночь|Nacht
неделя|Woche
месяц|Monat
год|Jahr

# Прилагательные
большой|groß
маленький|klein
хороший|gut
плохой|schlecht
красивый|schön
новый|neu
старый|alt
дорогой|teuer
дешёвый|billig
холодный|kalt
горячий|heiß

# Вопросы
что?|was?
кто?|wer?
где?|wo?
когда?|wann?
почему?|warum?
как?|wie?
сколько?|wie viel?

